Process,Path Name,Disk Service Time,Size,IO Time
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,245.911,32768,245.911
YYExplorer.exe (2888),C:\Windows\Fonts\msyh.ttf,245.422,32768,245.422
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,244.933,32768,244.933
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\resources.pak,242.977,32768,242.977
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,242.977,32768,242.977
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,241.511,32768,241.511
YYExplorer.exe (2888),C:\Windows\Fonts\msyhbd.ttf,237.600,32768,237.600
YYExplorer.exe (2888),C:\Windows\Fonts\msyh.ttf,237.600,28672,237.600
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,237.111,32768,237.111
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,236.622,32768,236.622
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,235.644,32768,235.644
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,235.155,32768,235.155
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,234.666,32768,234.666
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,232.711,31232,232.711
YYExplorer.exe (2888),C:\Windows\Fonts\msyhbd.ttf,228.311,32768,228.311
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,197.511,20480,197.511
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,196.533,20480,196.533
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,192.622,20480,192.622
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,192.133,16384,192.133
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Local\YYExplorer\User Data\Default,180.888,4096,180.888
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\resources.pak,180.888,8192,180.888
YYExplorer.exe (2888),C:\Windows\Fonts\msyh.ttf,177.955,16384,177.955
YYExplorer.exe (2888),C:\Windows\SysWOW64\KBDUS.DLL,165.244,512,165.244
YYExplorer.exe (2888),C:\Windows\Fonts\msyh.ttf,165.244,8192,165.244
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\YYExplorer.exe,161.333,8192,161.333
YYExplorer.exe (2888),C:\$Mft,159.866,4096,159.866
YYExplorer.exe (2888),C:\Windows\SysWOW64\KBDUS.DLL,158.400,3584,158.400
YYExplorer.exe (2888),C:\Users\Administrator\AppData\Roaming\duowan\YYExplorer\3.6.4538.0\chrome_100_percent.pak,157.911,8192,157.911
YYExplorer.exe (2888),C:\Windows\SysWOW64\KBDUS.DLL,150.088,1536,150.088
